Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,-1.13008383898424E-16,0.0127,1.1234963901515E-16,0,0,0,17.2299101764948,1.32974914515101,2.11758236813575E-20,-3.01120212748904E-16,2.05043247302463,2.11758236813573E-20,0.722536002681863,0,0,0,0,0,0,package://alt_car_assembly/meshes/chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/chassis.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hub_f_l,0,0.0324625099031435,0,0,0,0,0.334738405845382,0.000566787961434065,-1.39410525233639E-19,2.10064170919066E-19,0.000587960662686382,7.40129452315766E-20,0.000875439911652352,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_f_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_f_l.STL,,hub-3,Origin_front_left_steering,Axis_front_left_steering,front_left_steering,revolute,0.254,-0.34677,0,-1.5708,0,0,chassis,0,1,0,0,0,0,0,,,,,,,,
wheel_f_l,-3.88578058618805E-16,1.38777878078145E-17,-2.22044604925031E-16,0,0,0,0.926666637773504,0.00141988958906164,-1.64129739327946E-37,-2.43945488809238E-19,0.00141988958906164,-4.69349834934246E-36,0.00194300680608435,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_f_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_f_l.STL,,wheel-1,Origin_front_left_axle,Axis_front_left_axle,front_left_axle,revolute,0,0.08255,0,0,-1.5708,0,hub_f_l,0,0,1,0,0,0,0,,,,,,,,
hub_f_r,0,0.0324625099031435,0,0,0,0,0.334738405845383,0.000566787961434066,-3.32625042313524E-21,-1.93970544921235E-19,0.000587960662686382,-8.83716172998184E-22,0.000875439911652352,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_f_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_f_r.STL,,hub-1,Origin_front_right_steering,Axis_front_right_steering,front_right_steering,revolute,-0.254,-0.34677,0,-1.5708,0,0,chassis,0,1,0,0,0,0,0,,,,,,,,
wheel_f_r,5.55111512312578E-17,0,0,0,0,0,0.926666637773504,0.00141988958906164,-1.6412973932795E-37,3.40507244796229E-19,0.00141988958906164,-4.69349834934245E-36,0.00194300680608435,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_f_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_f_r.STL,,wheel-3,Origin_front_right_axle,Axis_front_right_axle,front_right_axle,revolute,0,0.08255,0,0,-1.5708,0,hub_f_r,0,0,1,0,0,0,0,,,,,,,,
hub_r_r,-5.55111512312578E-17,0.0578625099031435,5.55111512312578E-17,0,0,0,0.334738405845382,0.000566787961434064,1.32149634801042E-19,-9.49695306454753E-20,0.000587960662686381,2.25089532101838E-22,0.000875439911652351,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_r_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_r_r.STL,,hub-2,Origin_rear_right_steering,,rear_right_steering,fixed,-0.254,0.34677,0.0254,-1.5708,0,3.1416,chassis,0,0,0,,,,,,,,,,,,
wheel_r_r,-5.55111512312578E-17,0,1.66533453693773E-16,0,0,0,0.926666637773503,0.00141988958906164,-1.64129739327948E-37,1.94682052891282E-19,0.00141988958906164,-4.69349834934246E-36,0.00194300680608435,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_r_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_r_r.STL,,wheel-4,Origin_rear_right_axle,Axis_rear_right_axle,rear_right_axle,revolute,0,0.10795,0,3.1416,1.5708,0,hub_r_r,0,0,1,0,0,0,0,,,,,,,,
hub_r_l,5.55111512312578E-17,0.0578625099031435,0,0,0,0,0.334738405845383,0.000566787961434065,-1.60454472242266E-19,-4.92158596450278E-20,0.000587960662686383,-1.01861746001102E-19,0.000875439911652353,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_r_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/hub_r_l.STL,,hub-4,Origin_rear_left_steering,,rear_left_steering,fixed,0.254,0.34677,0.0254,-1.5708,0,3.1416,chassis,0,0,0,,,,,,,,,,,,
wheel_r_l,5.55111512312578E-17,0,5.55111512312578E-17,0,0,0,0.926666637773504,0.00141988958906164,-1.64129739327944E-37,1.89278381288076E-19,0.00141988958906164,-4.69349834934246E-36,0.00194300680608435,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_r_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alt_car_assembly/meshes/wheel_r_l.STL,,wheel-2,Origin_rear_left_axle,Axis_rear_left_axle,rear_left_axle,revolute,0,0.10795,0,3.1416,1.5708,0,hub_r_l,0,0,1,0,0,0,0,,,,,,,,
